RegionID,RegionName,2018-03-1bd,2018-04-1bd,2018-05-1bd,2018-06-1bd,2018-07-1bd,2018-08-1bd,2018-09-1bd,2018-10-1bd,2018-11-1bd,2018-12-1bd,2019-01-1bd,2019-02-1bd,2019-03-1bd,2019-04-1bd,2019-05-1bd,2019-06-1bd,2019-07-1bd,2019-08-1bd,2019-09-1bd,2019-10-1bd,2019-11-1bd,2019-12-1bd,2020-01-1bd,2020-02-1bd,2020-03-1bd,2018-03-2bd,2018-04-2bd,2018-05-2bd,2018-06-2bd,2018-07-2bd,2018-08-2bd,2018-09-2bd,2018-10-2bd,2018-11-2bd,2018-12-2bd,2019-01-2bd,2019-02-2bd,2019-03-2bd,2019-04-2bd,2019-05-2bd,2019-06-2bd,2019-07-2bd,2019-08-2bd,2019-09-2bd,2019-10-2bd,2019-11-2bd,2019-12-2bd,2020-01-2bd,2020-02-2bd,2020-03-2bd,2018-03-3bd,2018-04-3bd,2018-05-3bd,2018-06-3bd,2018-07-3bd,2018-08-3bd,2018-09-3bd,2018-10-3bd,2018-11-3bd,2018-12-3bd,2019-01-3bd,2019-02-3bd,2019-03-3bd,2019-04-3bd,2019-05-3bd,2019-06-3bd,2019-07-3bd,2019-08-3bd,2019-09-3bd,2019-10-3bd,2019-11-3bd,2019-12-3bd,2020-01-3bd,2020-02-3bd,2020-03-3bd
24,Kentucky,80274.0,80608.0,80784.0,80920.0,81289.0,81785.0,82165.0,82502.0,82435.0,82558.0,82636.0,83110.0,83598.0,84217.0,84907.0,85604.0,86166.0,86691.0,87344.0,88057.0,89007.0,89900.0,90867.0,91634.0,92426.0,85928.0,86310.0,86664.0,87012.0,87362.0,87693.0,87999.0,88311.0,88565.0,88853.0,89187.0,89639.0,90056.0,90480.0,90882.0,91321.0,91756.0,92202.0,92643.0,93075.0,93501.0,93912.0,94279.0,94587.0,94907.0,137241.0,137784.0,138269.0,138778.0,139327.0,139857.0,140337.0,140777.0,141190.0,141650.0,142223.0,142913.0,143556.0,144220.0,144864.0,145522.0,146141.0,146770.0,147412.0,148070.0,148682.0,149276.0,149770.0,150210.0,150652.0
46,Oregon,258228.0,259681.0,260729.0,261928.0,263065.0,264193.0,264803.0,265205.0,265672.0,266348.0,267280.0,267712.0,267950.0,268130.0,268632.0,269172.0,269700.0,270217.0,270907.0,271797.0,272464.0,273069.0,273374.0,273940.0,274621.0,273933.0,275796.0,277390.0,279005.0,280603.0,281893.0,283037.0,283765.0,284706.0,285674.0,286858.0,287661.0,288049.0,288401.0,288856.0,289575.0,290311.0,291270.0,292232.0,293569.0,294657.0,295730.0,296668.0,297761.0,299226.0,327020.0,329138.0,330900.0,332626.0,334549.0,336054.0,337473.0,338428.0,339840.0,341007.0,342229.0,342955.0,343231.0,343500.0,343931.0,344784.0,345550.0,346606.0,347678.0,349175.0,350299.0,351593.0,352951.0,354544.0,356552.0
45,Oklahoma,51139.0,51349.0,51594.0,51606.0,51540.0,51504.0,51576.0,51789.0,52028.0,52272.0,52387.0,52635.0,52794.0,52976.0,53070.0,53414.0,53799.0,54227.0,54562.0,54807.0,55020.0,55214.0,55536.0,55855.0,56264.0,57975.0,58101.0,58286.0,58346.0,58381.0,58417.0,58563.0,58789.0,58969.0,59158.0,59289.0,59624.0,59876.0,60165.0,60352.0,60690.0,61076.0,61498.0,61847.0,62117.0,62435.0,62756.0,63196.0,63537.0,63958.0,124546.0,124740.0,125077.0,125264.0,125475.0,125692.0,126014.0,126385.0,126718.0,127106.0,127402.0,127977.0,128438.0,128935.0,129279.0,129807.0,130398.0,131005.0,131533.0,132021.0,132614.0,133213.0,133985.0,134639.0,135419.0
11,Connecticut,112492.0,112885.0,112910.0,113114.0,113332.0,113796.0,114037.0,114455.0,114591.0,114938.0,114773.0,115031.0,115068.0,115522.0,115780.0,116052.0,116281.0,116494.0,116793.0,117021.0,117249.0,117440.0,117993.0,118328.0,118721.0,180051.0,180339.0,180695.0,181295.0,181724.0,182291.0,182586.0,183046.0,183294.0,183803.0,183837.0,184218.0,184399.0,184732.0,184850.0,184891.0,185002.0,185026.0,185279.0,185445.0,185674.0,185812.0,186424.0,186945.0,187570.0,246241.0,246574.0,246975.0,247508.0,247937.0,248473.0,248710.0,249071.0,249083.0,249511.0,249337.0,249781.0,249962.0,250438.0,250589.0,250714.0,250863.0,250939.0,251253.0,251519.0,251938.0,252231.0,253072.0,253657.0,254350.0
19,Iowa,74243.0,74601.0,75197.0,75593.0,76003.0,76190.0,76494.0,76591.0,76639.0,76823.0,77203.0,77707.0,78106.0,78426.0,78549.0,78781.0,78993.0,79322.0,79494.0,79804.0,80099.0,80307.0,80358.0,80306.0,80215.0,98826.0,99210.0,99671.0,99979.0,100305.0,100598.0,101009.0,101383.0,101691.0,102007.0,102380.0,102867.0,103288.0,103617.0,103835.0,104169.0,104487.0,104805.0,105032.0,105273.0,105521.0,105732.0,105929.0,106032.0,106151.0,148970.0,149498.0,150056.0,150432.0,150814.0,151187.0,151719.0,152213.0,152638.0,153032.0,153498.0,154135.0,154697.0,155128.0,155420.0,155912.0,156398.0,156864.0,157200.0,157558.0,157915.0,158246.0,158558.0,158749.0,158990.0
34,Mississippi,69905.0,70129.0,70326.0,70525.0,70759.0,70971.0,71193.0,71423.0,71688.0,71944.0,72174.0,72560.0,72870.0,73217.0,73522.0,73829.0,74154.0,74441.0,74743.0,75014.0,75231.0,75421.0,75610.0,75698.0,75815.0,75009.0,75308.0,75622.0,75879.0,76096.0,76286.0,76572.0,76841.0,77145.0,77439.0,77795.0,78248.0,78644.0,79008.0,79298.0,79644.0,80012.0,80393.0,80693.0,80989.0,81226.0,81450.0,81630.0,81731.0,81839.0,122575.0,122876.0,123288.0,123788.0,124407.0,124855.0,125377.0,125790.0,126238.0,126665.0,127141.0,127718.0,128312.0,128963.0,129441.0,129892.0,130264.0,130745.0,131129.0,131610.0,132036.0,132514.0,132913.0,133215.0,133473.0
6,Arkansas,83261.0,83613.0,84165.0,84740.0,85356.0,85904.0,86316.0,86692.0,87446.0,88109.0,88921.0,89360.0,89802.0,90176.0,90570.0,91024.0,91427.0,91886.0,92422.0,92977.0,93098.0,93183.0,93144.0,93502.0,93830.0,89963.0,90397.0,90851.0,91323.0,91775.0,92133.0,92542.0,92894.0,93451.0,93907.0,94465.0,94853.0,95221.0,95565.0,95958.0,96364.0,96743.0,97237.0,97735.0,98289.0,98649.0,99051.0,99441.0,100014.0,100650.0,139198.0,139886.0,140435.0,140948.0,141299.0,141601.0,141983.0,142433.0,142980.0,143551.0,144051.0,144499.0,144861.0,145237.0,145613.0,146089.0,146562.0,147098.0,147594.0,148094.0,148511.0,148885.0,149326.0,149779.0,150336.0
23,Kansas,52341.0,52435.0,52609.0,52817.0,52985.0,53206.0,53347.0,53490.0,53717.0,53898.0,54053.0,54183.0,54384.0,54653.0,54781.0,54873.0,55007.0,55108.0,55253.0,55368.0,55389.0,55440.0,55545.0,55703.0,55781.0,72978.0,73207.0,73462.0,73734.0,73941.0,74130.0,74310.0,74546.0,74884.0,75178.0,75418.0,75618.0,75868.0,76173.0,76444.0,76709.0,77027.0,77318.0,77592.0,77823.0,77984.0,78179.0,78424.0,78701.0,78938.0,139605.0,140134.0,140749.0,141347.0,141788.0,142172.0,142627.0,143174.0,143834.0,144394.0,144954.0,145420.0,145891.0,146354.0,146799.0,147359.0,148013.0,148657.0,149204.0,149680.0,150032.0,150463.0,150926.0,151503.0,152105.0
55,Utah,210454.0,212865.0,215394.0,217287.0,219147.0,220441.0,221996.0,224237.0,226145.0,228056.0,229723.0,231642.0,232923.0,233693.0,234066.0,235088.0,236147.0,237778.0,239210.0,240231.0,241296.0,242510.0,244024.0,245173.0,246573.0,233742.0,236413.0,238872.0,241077.0,243494.0,245433.0,247535.0,249918.0,252305.0,254551.0,256618.0,258605.0,260184.0,261388.0,262373.0,263739.0,264965.0,266558.0,268152.0,269506.0,270777.0,271946.0,273499.0,274828.0,276414.0,284566.0,287428.0,290163.0,292528.0,294989.0,297052.0,299462.0,302054.0,304637.0,306967.0,309041.0,310890.0,312398.0,313469.0,314360.0,315652.0,316939.0,318568.0,320124.0,321469.0,322687.0,323867.0,325491.0,327091.0,328945.0
42,Nevada,118802.0,120655.0,122189.0,124188.0,126186.0,128537.0,130178.0,131344.0,131858.0,132737.0,133475.0,134235.0,134491.0,134842.0,135131.0,135102.0,134800.0,134367.0,134252.0,134532.0,135056.0,135497.0,136092.0,136475.0,137210.0,194700.0,197143.0,199407.0,202415.0,205508.0,208903.0,211378.0,212983.0,213665.0,215038.0,216304.0,217594.0,217814.0,218320.0,218672.0,218521.0,218010.0,217496.0,217491.0,218076.0,219058.0,219916.0,221072.0,222034.0,223793.0,265664.0,268281.0,270684.0,274095.0,277510.0,281261.0,283789.0,285309.0,285788.0,287191.0,288567.0,289912.0,290029.0,290405.0,290673.0,290330.0,289608.0,288910.0,288915.0,289669.0,290936.0,292004.0,293430.0,294688.0,296999.0
